Registered Date,Property Type,Lender
4/10/2014,Single Family,NATIONSTAR MORTGAGE LLC
1/14/2014,Single Family,GERRY BURK
2/3/2014,Single Family,Wells Fargo Bank N.A.
8/20/2014,Single Family,Wells Fargo Bank N.A.
3/10/2014,Single Family,Wells Fargo Bank N.A.
8/1/2014,Single Family,Ocwen Loan Servicing  LLC
1/20/2014,Single Family,Resurgent Capital
9/8/2014,Single Family,SolutionStar
9/18/2014,Single Family,Fannie Mae
1/7/2014,Single Family,Ocwen Loan Servicing  LLC
12/1/2014,Single Family,Nationstar Mortgage LLC
8/14/2014,Single Family,Nationstar Mortgage
11/6/2014,Multi-Family,Resurgent Capital
1/30/2014,Single Family,Deutsche Bank  as Trustee  c/o Select Portfolio Servicing
12/22/2014,Multi-Family,Shellpoint Mortgage Services
11/25/2014,Single Family,JP Morgan Chase C/O Select Portfolio Servicing
8/1/2014,Single Family,Ocwen Loan Servicing  LLC
6/16/2014,Single Family,Caliber Home Loans
5/17/2014,Single Family,Nationstar Mortgage
1/15/2014,Single Family,Penny Mac Loan Service
12/23/2014,Single Family,Platinum Loan Servicing
1/30/2014,Single Family,Wells Fargo Bank N.A.
6/9/2014,Single Family,Wells Fargo Bank N.A.
8/7/2014,Single Family,Nationstar Mortgage LLC
2/3/2014,Single Family,Capital One
7/3/2014,Single Family,NATIONSTAR MORTGAGE LLC
1/15/2014,Single Family,JP Morgan Chase NA
3/5/2014,Single Family,Ocwen Loan Servicing  LLC
6/9/2014,Single Family,Wells Fargo Bank N.A.
10/27/2014,Single Family,U.S. Bank NA  c/o Select Portfolio Servicing
6/9/2014,Single Family,Wells Fargo Bank N.A.
1/6/2014,Multi-Family,M&T BANK
3/12/2014,Multi-Family,Ocwen Loan Servicing  LLC
7/9/2014,Single Family,Wells Fargo Bank N.A.
3/31/2014,Multi-Family,Wells Fargo Bank  N.A.  as Trustee  c/o Select Portfolio Servicing
9/3/2014,Single Family,NSP LA Trust
1/30/2014,Multi-Family,Wells Fargo Bank N.A.
1/30/2014,Single Family,Wells Fargo Bank N.A.
11/7/2014,Single Family,Deutsche Bank  as Trustee  c/o Select Portfolio Servicing
6/9/2014,Single Family,Nationstar Mortgage
8/25/2014,Multi-Family,The Evergreen Advantage  LLC
12/10/2014,Single Family,GREEN TREE SERVICING
11/3/2014,Single Family,Bank of America
8/20/2014,Single Family,Wells Fargo Bank N.A.
1/15/2014,Single Family,JP Morgan Chase NA
3/13/2014,Single Family,JP Morgan Chase NA
1/30/2014,Multi-Family,Wells Fargo Bank N.A.
6/9/2014,Single Family,Wells Fargo Bank N.A.
1/22/2014,Single Family,U.S. Department of Housing and Urban Development
11/26/2014,Single Family,Bank of America  C/O Select Portfolio Servicing
11/18/2014,Single Family,Bank of America
2/27/2014,Single Family,Ocwen Loan Servicing  LLC
12/22/2014,Single Family,Select Portfolio Servicing
1/7/2014,Single Family,JB NUTTER & COMPANY
11/25/2014,Single Family,Bank of America
9/8/2014,Single Family,Nationstar Mortgage
6/17/2014,Single Family,Wells Fargo Bank N.A.
